"State","commodity","organic_status","metric","unit_info","Value","CV"
"CALIFORNIA","STRAWBERRIES","ORGANIC","ACRES HARVESTED",NA,4228,45.7
"CALIFORNIA","STRAWBERRIES","ORGANIC","SALES","$",311784980,46
"CALIFORNIA","STRAWBERRIES","ORGANIC","SALES","CWT",1412627,51.7
"CALIFORNIA","STRAWBERRIES","ORGANIC","SALES","$",NA,NA
"CALIFORNIA","STRAWBERRIES","ORGANIC","SALES","CWT",1401384,50.6
"CALIFORNIA","STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES",NA,7,60
"CALIFORNIA","STRAWBERRIES","ORGANIC","SALES","$",NA,NA
"CALIFORNIA","STRAWBERRIES","ORGANIC","SALES","CWT",11244,NA
"FLORIDA","STRAWBERRIES","ORGANIC","ACRES HARVESTED",NA,704,99.8
"FLORIDA","STRAWBERRIES","ORGANIC","SALES","$",18358396,NA
"FLORIDA","STRAWBERRIES","ORGANIC","SALES","CWT",67146,NA
"FLORIDA","STRAWBERRIES","ORGANIC","SALES","$",18358396,NA
"FLORIDA","STRAWBERRIES","ORGANIC","SALES","CWT",67146,NA
